attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,classification
30,34,44725,18030,9843,3139,9843,1959,1050,557,1
48,40,28192,20446,5253,7106,5253,7187,2217,1569,1
37,40,1298855,318175,141832,44657,141832,18173,13549,12424,1
34,53,558773,75954,91004,14652,91004,6942,3086,1613,1
23,60,1721768,149647,138081,80655,138081,6993,3201,1418,1
20,64,92503,69602,54706,14180,54706,21222,9582,2720,1
27,64,758109,60639,20867,37918,20867,9705,15238,4869,1
34,60,1177156,16922,9788,9114,9788,2653,2456,4036,1
51,51,1026186,252521,90576,55547,90576,52415,6301,9569,1
38,44,1330903,370088,23815,89086,23815,16153,57873,6705,1
38,48,1776964,248778,61497,294187,61497,53431,82672,53319,1
34,47,195247,16484,2170,9387,2170,1262,779,488,1
21,47,301930,73810,20755,10622,20755,3505,791,517,1
30,57,288120,94564,54546,71407,54546,18680,10399,7701,1
13,61,484902,152285,94166,134012,94166,4653,8942,712,1
14,67,77988,5138,6558,2078,6558,648,152,193,1
8,77,275922,114879,151882,21450,151882,4867,4810,1981,1
10,67,176694,5118,1250,1101,1250,721,448,219,1
24,54,186467,151422,26005,18464,26005,13947,16561,8180,1
24,41,863944,305247,32552,40922,32552,20115,10285,13868,1
38,29,926605,114623,11623,30616,11623,10966,11765,7853,1
38,23,1649346,556512,85774,30254,85774,61578,52643,26335,1
38,30,1062506,62311,47744,13298,47744,10117,10766,6139,1
43,37,325960,56356,1437,31891,1437,8737,16827,7349,1
44,35,453877,334065,63468,30924,63468,34255,34070,26857,1
50,38,405173,48569,9065,16120,9065,13456,12311,8472,1
44,29,3199169,481889,60024,77692,60024,25452,58641,28813,1
40,34,1557637,744913,446360,205873,446360,84725,203440,75659,1
40,40,507258,94866,60619,5599,60619,12916,34386,31360,1
29,51,735001,50064,57329,38529,57329,7038,15601,5281,1
40,53,847238,811703,202520,157189,202520,152425,84843,79760,1
44,47,2344935,115905,23096,10569,23096,15599,6521,7169,1
43,27,1033338,141705,3707,6883,3707,11288,6589,7687,1
60,23,1601043,9220,4006,17271,4006,9688,12854,3413,1
48,17,830248,125661,14640,7172,14640,5436,3559,4745,1
37,14,835172,469132,54072,52129,54072,15013,5991,4472,1
24,11,39534,317825,2716,9924,2716,6745,6654,2786,1
7,1,566291,257001,3702,4106,3702,11365,9361,2475,1
17,4,133395,40377,68837,4600,68837,14055,6792,6261,1
29,14,1561899,42402,14669,18998,14669,7939,5875,7207,1
43,30,158801,75171,18313,2371,18313,8348,3375,3369,1
48,61,519211,13129,17502,6781,17502,2589,1832,1629,1
34,53,2239702,358661,45399,92663,45399,12822,15497,12673,1
41,47,337302,3789,1106,230,1106,1290,712,213,1
54,54,666870,947118,7863,395374,2165,137526,2400,913091,0
70,37,137130,365737,7587,98789,3904,173820,4244,824353,0
78,44,670305,449094,173450,9062,7795,175296,3160,883556,0
78,44,96581,216169,10305,106414,1465,59938,775,362883,0
78,44,312455,663688,35360,336759,7390,278045,5394,1472857,0
78,44,116195,289418,6541,140941,1757,55877,1194,372786,0
91,64,146099,338746,9559,213911,4049,349471,3704,1445375,0
91,64,300305,179902,4404,155387,1676,58618,1004,382486,0
91,64,580617,1526665,10087,629123,1753,247332,3673,1585607,0
91,64,130431,1278950,28532,196518,2719,345588,8134,1461524,0
91,64,34594,291290,1573,140790,1357,69130,1332,391265,0
91,64,96300,177541,11190,74512,551,80626,683,381165,0
91,64,421034,1094418,10826,309971,2382,303249,3257,1513992,0
91,64,165102,1903222,45938,487684,3856,275318,2735,1580738,0
91,64,1142705,436132,118597,165247,3741,265804,4035,1554948,0
91,64,220987,3194358,14121,785947,8235,208417,6945,1575524,0
91,64,934453,732071,13918,572532,3790,281874,2188,1561610,0
91,64,340224,1234841,3619,293455,7993,285488,4971,1530407,0
91,64,121666,233158,7246,118158,3007,62633,1499,394863,0
91,64,124251,197963,4709,91309,3525,75449,3427,342913,0
91,64,665259,1109484,32291,375161,12861,272686,2824,1589029,0
91,64,149245,322741,9061,137029,956,59671,1339,395293,0
91,64,160119,196126,1331,67120,742,82091,791,395243,0
91,64,267227,979777,18663,285795,3705,304636,4913,1515444,0
91,64,1063827,510178,21217,244642,7283,408074,7847,1565297,0
91,64,9298,81246,558,35331,392,17880,580,97846,0
91,64,607071,1643972,96564,366605,2417,356386,5796,1535211,0
91,64,344922,1304380,36476,388776,1711,270100,2335,1615062,0
91,64,48978,280842,4330,138703,1364,57578,1153,402361,0
91,64,551849,1583987,73352,254695,2190,228425,7515,1476228,0
91,64,121826,349309,10072,169447,1241,53429,443,370618,0
91,64,55864,313020,5662,105637,1543,63117,1924,361715,0
100,54,335143,989646,27467,279898,4357,277358,3903,1444445,0
100,54,670495,1392961,11054,295429,2823,291144,3617,1541084,0
100,54,42191,317106,7166,133709,897,63876,1699,394157,0
30,30,79500,225872,6576,59625,1848,45786,857,252450,0
34,51,675706,522115,20566,338876,4847,177440,1339,1004467,0
26,34,580852,959257,23289,148730,1152,190524,3166,928015,0
26,34,765930,1112945,10379,391491,3970,212086,3032,1146045,0
26,34,189800,1366269,18043,240494,1505,263113,7927,1311647,0
26,34,63629,284311,3652,119654,1393,75548,2386,356625,0
26,34,534036,1687791,32973,351552,3287,264334,4629,1386099,0
26,34,31400,217521,3073,134548,1814,60211,1030,347583,0
26,34,325620,1550512,40832,508297,5906,202623,3485,1325118,0
23,26,200451,855685,5828,229029,4057,205465,4017,1031489,0
23,26,635404,141425,29339,47151,758,45990,1060,246011,0
54,56,561363,268897,51573,329602,8836,199036,2879,1099018,0
38,51,23729,161751,881,100370,1494,44601,1135,278974,0
44,66,456910,863163,4770,372699,3405,200495,2816,1078147,0
41,66,1498315,306131,53810,318600,11980,200151,1941,1136972,0
41,66,74897,194868,893,88908,1193,57281,1570,285672,0
41,66,425155,1039917,11567,267473,2968,239441,2412,1163721,0
37,57,58867,243507,2044,102638,942,45903,981,281235,0
27,64,416948,881799,11286,265054,8934,218306,5078,1106090,0
27,64,497513,1034544,18675,386473,1863,227349,2364,1176791,0
27,64,267468,951671,10400,241427,1506,235124,3544,1146078,0
27,63,48112,264715,4311,87848,1338,54126,616,310870,0
34,37,33561,212334,4796,106644,1342,49909,818,309352,0
34,37,1417835,882263,26444,286796,5304,227496,1987,1229208,0
34,37,806096,831079,22925,159576,11604,254213,5520,1318463,0
34,37,979102,574058,29913,583521,11743,210684,6889,1518368,0
34,37,73770,269272,6052,66882,710,73581,1190,372813,0
60,54,78582,86448,6058,103935,816,51440,603,382679,0
67,63,299131,797418,16145,370765,10823,320129,3564,1507158,0
93,64,311916,681799,24194,331656,949,337544,3586,1525804,0
93,64,582777,1074343,33402,455000,7110,201554,4851,1484424,0
93,64,150291,144924,4261,55292,1804,75468,1226,361914,0
93,64,975422,926410,27537,262784,3192,253776,7860,1389341,0
93,64,392410,1118214,27843,499935,3299,245462,4371,1498328,0
93,64,89508,163885,3080,69772,834,75601,840,373119,0
93,64,31036,200083,2437,80211,815,52206,938,290700,0
93,64,198134,108389,11411,53599,576,44508,409,256582,0
74,63,698073,669357,22835,196172,2868,202998,2649,1039995,0
48,53,61226,159390,2994,95448,1387,39115,714,274421,0
66,48,494599,407193,7996,163166,1778,223650,2008,1053552,0
66,48,118591,185521,11802,38049,392,48270,1441,257783,0
35,48,576777,868395,11176,358358,691,183186,2525,1078183,0
27,41,279772,806899,4150,193834,2410,196878,4751,1047094,0
24,24,40829,254864,4036,79364,872,47528,1306,258184,0
3,35,88548,131735,3215,59254,624,42945,1278,260809,0
24,23,535694,748850,12631,209420,2437,232545,2521,1047624,0
17,51,151753,554885,2407,361286,5944,150522,2060,1083558,0
54,48,170726,428867,6918,145437,7586,208108,1672,1120983,0
41,44,435680,882389,7061,363359,3685,206904,2099,1153692,0
44,53,667295,555402,13309,218590,6739,226475,2146,1158406,0
48,35,833965,802513,37147,247458,2324,212471,3587,1138726,0
48,35,63620,190957,3133,83390,2545,52595,1363,294201,0
41,43,277536,588904,9129,282193,2459,259693,2305,1172848,0
60,48,159342,170428,2852,102550,946,50848,560,295258,0
60,48,1811880,797305,61546,227697,3169,183094,6842,1135835,0
60,48,868750,1014658,25253,424837,2417,208227,2942,1188439,0
60,48,75973,164621,5242,61101,2524,50688,838,284107,0
60,48,48873,230254,1808,89698,1796,57988,1159,276087,0
66,53,311952,521831,8366,245845,5071,237776,2633,1069091,0
63,69,64976,156059,2885,95731,1058,43438,589,284684,0
30,41,604709,1055028,212012,241905,11102,128583,6673,1517968,0
35,64,626143,148478,109511,28220,10929,60624,1701,604534,0
27,75,470437,453751,172258,62890,8797,65164,3769,855072,0
40,83,668491,315600,134613,17088,5301,97777,2005,760534,0
38,48,26246,145616,3744,40988,480,33434,762,156545,0
43,21,122740,825576,38786,3978,4341,115360,6906,961387,0
37,29,2042313,242532,14305,93402,34106,38485,2450,646938,0
60,57,1261492,209320,150077,28020,6052,237887,2451,1059802,0
66,88,1068899,486730,92539,92234,28761,160898,11470,1015045,0
67,81,2675768,431972,101077,17603,12729,76133,5954,762346,0
61,74,652411,403799,40285,21985,5823,95261,5165,804981,0
51,80,486821,120568,109508,8940,5053,67364,3091,828198,0
61,77,207633,29747,5693,7451,5242,22344,310,207291,0
74,84,446685,165258,86681,22075,10906,92796,2611,894813,0
83,67,99533,351340,9050,2237,6044,142928,1847,860099,0
93,60,235570,107159,49343,6618,3940,122658,2925,1008346,0
81,54,1740559,232950,52234,10705,28361,41448,2521,902303,0
80,74,1556522,278722,24907,13070,6207,113979,3146,990615,0
54,60,274323,322318,171512,6914,3384,134262,2142,907553,0
75,63,422422,75627,33853,8728,5749,71233,2168,879965,0
70,87,981104,122359,82517,26125,11623,57627,2059,810852,0
83,84,820911,316514,16161,9689,8755,151910,2794,814071,0
78,91,916853,96832,164737,22740,17279,54184,1485,856956,0
57,83,247278,256703,30820,26278,13520,37991,4409,780945,0
66,69,237866,57268,21165,8385,5978,40898,685,324157,0
63,91,1035879,396122,276609,11261,12640,243592,9453,1295201,0
84,77,781335,294354,137217,6713,22739,206788,5757,1003031,0
84,70,687561,243046,54406,7966,6406,137222,2020,935010,0
81,38,336478,693625,10365,2622,10483,181841,4297,941340,0
67,43,905140,430211,85888,46946,21739,58502,952,901961,0
54,56,1486685,254502,252748,22633,9948,95330,3539,821975,0
43,70,406381,55848,36327,25484,2703,26227,731,279942,0
40,100,1032024,164767,84751,11950,16774,56028,2897,799282,0
56,100,675837,236444,54166,7950,2978,109099,4122,858742,0
50,97,720188,384107,319216,5793,15303,71240,4840,835600,0
57,94,559111,141880,130611,22769,14942,110414,2248,833701,0
63,96,149277,125218,76587,8768,3429,65272,1198,776688,0
64,100,467237,124258,102123,8680,12384,94535,2015,857387,0
88,88,134176,209975,41705,5393,8383,147957,5987,829853,0
75,93,934665,222078,237728,11896,8864,64911,1556,829197,0
66,87,593984,257640,62842,26584,9088,61007,1612,834564,0
74,81,90038,33307,8964,7707,3621,30783,902,192763,0
67,78,230193,86707,8506,3729,3064,40845,661,211476,0
74,67,444799,218180,80757,21289,18408,60539,1707,790074,0
74,80,806244,139294,145248,21669,15909,53419,3177,774407,0
63,88,919091,150497,143393,5538,8568,93123,1307,775286,0
51,100,1212313,40617,10485,4029,4064,8692,712,180486,0
56,97,543993,218743,74684,12580,8127,93915,5809,712699,0
53,57,310485,775857,3469,2936,3835,105446,4024,825331,0
54,48,594295,185199,46184,4192,5775,88777,1293,733120,0
64,50,478341,205061,59541,21385,8522,101239,2523,710358,0
63,50,390851,201326,58445,10967,52272,67988,4502,757267,0
74,88,204401,87781,121718,1820,12912,60698,2880,764992,0
81,90,441917,112740,18826,28979,13300,101400,2334,668878,0
90,80,827258,169559,17160,6359,6904,120411,3729,715657,0
83,77,470328,68261,10324,3711,9291,14004,590,169488,0
75,75,364533,154053,126350,18399,22000,46922,2373,709822,0
64,66,152513,324079,22366,12025,6366,107235,3519,707911,0
64,78,324123,99439,136669,12351,5896,47605,1476,741190,0
78,83,544411,37112,110707,32277,25906,61529,6633,715425,0
70,91,370068,262339,65251,6559,14852,65346,3378,636418,0
61,100,2445364,293891,318154,114483,40352,206969,4786,2328370,0
44,100,302879,339646,52517,10278,16336,21271,2891,627357,0
34,87,1635602,349097,56657,25971,13430,65813,2436,632521,0
17,90,1510300,236973,45925,48939,10876,20334,2410,505133,0
1,70,1602713,289262,14291,13484,16482,13044,5244,290143,0
1,83,383169,122539,50757,60384,26247,8365,2486,335478,0
1,90,286129,35523,10675,7246,1795,3642,1385,100702,0
1,88,624594,198552,22747,49090,30550,22031,1154,437704,0
1,100,98581,39921,29497,8982,4502,5302,1367,98228,0
1,100,630145,18951,23055,10287,12382,2349,1147,117668,0
1,100,349432,49947,9948,3461,3739,3681,499,92198,0
1,100,696550,287496,55956,23585,12272,9509,3058,378749,0
1,94,218515,34543,9067,2620,3821,6429,998,122644,0
3,88,867571,142017,77982,18058,21955,21528,3442,497322,0
21,96,1303371,47207,21293,24491,21071,18263,2765,470673,0
24,100,240701,87761,16909,33591,2496,6140,455,130478,0
24,100,772295,396396,53418,37959,20064,58825,1502,465941,0
8,96,266996,57690,12295,24328,3957,4092,1071,110616,0
7,94,529247,42571,15514,7888,5058,2566,1308,66351,0
1,88,196594,60094,2093,4216,2991,2942,908,76674,0
1,93,1577723,148034,40441,77261,10415,9096,1606,308406,0
1,90,1789933,88877,22290,7783,9857,5274,2377,308647,0
1,96,869420,28198,19361,48630,15846,10395,1632,344696,0
1,100,619483,64233,3257,5178,2568,4581,644,85652,0
4,88,938163,92891,9643,16718,30394,5793,1614,334494,0
11,87,227390,33470,7545,6534,8702,3588,646,75398,0
8,74,1564217,117857,18629,21994,22521,14009,1787,349335,0
4,81,276365,19723,4080,6252,9023,1443,651,82625,0
1,83,1236931,1078238,184789,132499,58740,47552,6127,1253522,0
1,80,834225,616911,60120,74419,61899,46526,9143,1615958,0
11,88,909365,16217,7577,10073,3309,7375,279,98271,0
20,94,668231,128706,87325,58944,11071,27283,1711,398455,0
23,96,1684770,232799,58572,39447,10543,15219,1695,434683,0
17,97,1082651,63386,8027,7977,3037,3514,637,96365,0
1,83,48383,19180,1523,750,913,437,73,22269,0
1,80,876022,22823,6517,7068,3730,3947,920,96166,0
10,84,499268,25742,10955,15118,3255,6408,874,104361,0
20,90,1079012,211773,71868,27308,15855,25740,2288,389570,0
35,100,253953,132014,32067,86171,24542,21446,4103,404304,0
23,94,180631,95096,6337,6711,5078,4686,607,108174,0
14,84,63288,19473,2619,1460,787,1379,77,25954,0
11,81,230886,66599,13030,9047,4008,4912,347,119780,0
29,74,2495352,59383,3227,24774,9790,33888,1348,418942,0
43,75,1433521,233922,1110,49929,24330,47400,4034,483555,0
61,87,1028439,37478,15968,44697,15175,27848,1934,501804,0
66,93,1284282,479887,345670,143977,103598,88202,8443,1935314,0
41,88,1612151,1788829,148743,154175,70041,98273,9355,1676943,0
48,91,1909707,275788,43173,87812,84064,115171,4117,1888468,0
27,88,1050410,39239,9202,11769,5639,2642,823,114422,0
16,69,359407,141413,4501,7856,4279,4635,190,118187,0
23,69,441970,196775,23841,18615,18153,22092,3558,473840,0
13,80,929528,24728,18059,10604,2310,6459,498,114691,0
21,75,838928,1311670,332196,112953,103637,174873,14330,1767712,0
40,96,1013694,44447,68081,19782,12336,22779,766,427866,0
43,100,1124850,115776,31430,19303,22231,21432,2426,444112,0
30,90,1889060,469668,69575,42947,36156,23354,4025,470835,0
23,90,386258,357380,49285,48816,13787,20354,1261,436417,0
20,78,913997,577332,66642,119866,61071,77881,3223,1929615,0
8,84,1831645,214244,171553,30440,14418,19291,2516,444380,0
13,90,355545,186488,59362,22209,30999,16631,3424,443680,0
21,88,585385,256121,8613,55471,11444,28678,4216,521554,0
23,100,2227479,38765,98875,13149,17134,19718,3293,430276,0
26,100,90641,32380,24631,12207,7375,4794,456,107732,0
38,100,122034,25409,5460,12712,5491,7347,815,114691,0
40,100,1848654,180944,13106,21775,26356,25349,1966,437908,0
38,88,2196787,439476,119784,33794,69600,58569,8329,1777383,0
41,81,273548,34154,12962,2543,5986,4637,2125,110591,0
29,77,529323,182760,22974,28255,14629,13764,3723,382958,0
37,78,725523,484140,82479,25894,87883,129722,17689,1704972,0
34,91,1760337,44608,105310,18777,27143,13097,3618,393351,0
41,93,356761,61518,27371,22766,12399,21685,1462,386913,0
44,94,1990203,443253,99019,89772,62701,46549,5557,1662015,0
40,100,1140776,22081,2272,15939,690,4332,193,89362,0
41,100,502724,12665,12335,14256,3097,3546,1089,88604,0
21,100,1227894,82622,109825,29088,24609,6678,919,363706,0
20,100,1742934,175272,35322,44835,34834,17214,1627,381845,0
1,100,487509,258217,205578,18402,14030,8620,1955,353927,0
1,100,733104,16271,25255,7461,7050,2526,507,95173,0
1,100,631122,175405,31973,62372,14291,14792,2429,383622,0
11,100,1347961,32930,41208,38795,14523,17108,1727,425723,0
34,97,103582,75215,12812,14399,2757,6001,1312,108417,0
35,94,2071617,159185,38228,14591,5927,11360,4349,389770,0
29,80,2101830,278764,6208,58019,10774,36648,3181,415766,0
30,84,1741280,38946,31507,40311,19542,16890,2801,452408,0
44,87,314112,113786,24601,33235,13652,28962,2688,485762,0
47,90,758475,114737,41153,31470,32373,12446,8427,398525,0
41,100,850264,134395,126757,27411,12644,16608,6327,404842,0
35,100,1074627,69770,22273,62308,18801,14638,3154,388609,0
26,100,154747,25656,4197,8993,8967,2845,908,77306,0
20,81,532710,1153966,46275,4461,32335,49240,12010,855213,0
21,81,709275,40275,35248,25293,10471,6823,11286,908118,0
16,70,772973,92219,19843,9058,12790,7210,1976,207896,0
11,81,1333382,60973,13900,60423,4120,6975,4044,266355,0
14,100,211763,22236,31338,5186,1369,3236,1089,86600,0
4,100,2083174,104495,60563,114665,29523,8184,7589,483180,0
1,100,196267,42275,22628,17934,5357,3042,2377,79279,0
1,100,1447505,156211,126373,33294,20813,5091,2508,374380,0
1,100,739139,442060,60728,69296,19381,8163,2561,391717,0
1,90,796021,342965,27616,24755,11983,12653,1476,371267,0
11,69,539228,1067014,83601,30858,66191,54903,3238,1133197,0
40,83,907298,65274,14011,54192,31854,34296,11084,839170,0
37,100,252286,49583,63205,5199,6391,4237,2439,241718,0
44,100,742381,392429,80446,70676,29803,68080,17886,860551,0
37,100,1604775,111092,109185,47053,91514,10066,11889,853886,0
7,91,231729,290369,33868,3067,6174,3131,3370,233134,0
4,69,1450720,412931,32509,13422,65978,11326,8740,775783,0
1,69,1432193,112574,26647,12214,12655,3843,2407,180202,0
1,60,1601411,648185,152786,31949,28339,9686,26122,837646,0
3,81,180574,2968,2703,4012,527,647,528,53618,0
10,100,748603,19089,7496,48690,8346,3402,1998,217261,0
14,96,517863,348619,7513,42875,41340,16492,5824,850991,0
40,97,116334,10801,1293,5013,2184,2876,1935,49941,0
40,74,999646,43463,1569,2634,3685,3072,2765,181254,0
50,64,121441,11531,8181,991,1276,2656,922,50756,0
47,70,1036317,234657,38544,44881,19786,9281,12766,820105,0
43,60,1002561,44777,3873,2749,13998,6417,1801,226602,0
35,70,1695760,115029,15630,41205,14384,4857,4124,228034,0
35,69,1406259,81318,20972,15048,15087,5530,1174,67601,0
35,77,389890,21811,758,5615,4693,3255,384,74786,0
51,51,344272,38915,32645,7067,3439,52827,2398,321342,0
60,57,341431,129836,26981,3105,3437,68783,2172,311891,0
75,69,213119,36437,34933,2542,1191,61419,1246,296584,0
75,81,123919,147399,58415,7743,3475,54298,1111,311132,0
57,69,272289,83102,65626,8970,6272,70843,1085,376517,0
35,67,1065554,858932,194671,260673,148858,198280,60555,2210047,0
35,67,498077,104095,65852,6672,7888,15631,10629,102601,0
35,70,131665,224544,143917,6576,4401,90835,1997,535304,0
38,91,176786,193085,75620,51393,8273,62078,3514,576226,0
29,84,1136363,670157,102681,74175,2655,208444,8851,1652521,0
35,77,335111,1348124,163088,7279,9750,336141,11557,1489858,0
23,77,448637,246167,107108,18229,11231,32796,1106,455133,0
20,66,578266,285384,39762,7509,3451,55075,630,463234,0
4,64,396521,427433,49463,17188,8735,42472,2555,443220,0
1,77,426969,219065,95335,32935,5380,55332,2695,534886,0
11,80,971263,624934,686916,61439,24773,322755,4104,2055978,0
14,83,1191479,1088117,189126,123604,16386,294231,5287,2163430,0
23,94,1001469,112015,144760,2330,8094,44602,1035,488640,0
30,96,1781724,714839,688042,26259,13844,366936,4234,1884956,0
26,93,621498,72794,10101,29263,4343,17399,1093,235771,0
21,90,755250,1429987,261318,12641,14917,259325,6881,1682637,0
20,78,684506,1678285,277710,14224,11475,279211,6755,1621334,0
17,81,1044031,433547,699008,12923,18399,264062,4359,1612173,0
21,80,313954,1171918,510080,5517,8091,306613,8860,1582330,0
24,87,1155799,713281,259532,112249,18873,228717,10047,1515300,0
34,88,1003034,736064,162038,25930,8261,245327,7048,1522998,0
16,81,960918,710689,143339,116320,35547,110338,17802,1675534,0
11,83,1119817,283283,140542,10437,39721,58079,6875,655854,0
1,84,1638347,629793,139874,22810,12031,96000,4391,1031533,0
7,83,550952,127603,47857,17841,33724,32908,5352,513701,0
13,78,668658,185544,3647,31328,4510,38555,4207,268379,0
17,78,2559166,220997,77792,67284,32262,68119,3510,570033,0
34,84,714229,129032,106631,5300,7185,89120,1298,475853,0
40,81,959983,212871,31880,54869,17582,86288,8978,495953,0
37,84,1310574,128264,96852,11200,1576,69123,1017,537149,0
38,84,1518278,224866,70140,151599,7971,176904,3070,1606347,0
21,88,269191,1085797,398727,77491,13390,124135,3257,1537620,0
41,91,968658,309603,187628,27974,7177,254772,3567,1548471,0
34,88,919941,80178,29778,7565,4553,23312,1005,321034,0
35,83,1439167,754324,108671,24926,48494,93445,8051,1380668,0
30,80,903313,647740,163215,70761,19915,156182,16235,1490874,0
30,80,1571447,171980,111347,82547,103968,173988,30447,598935,0
20,83,2237964,50772,22648,13743,5378,7541,4648,31682,0
35,81,469958,34870,6733,6399,29986,13551,3187,2838,0
24,80,890456,114707,20079,10705,12905,13299,9878,9242,0
1,67,2178526,300329,11573,22731,85842,20602,16198,152401,0
1,77,1328257,97988,338938,8430,17735,30548,28260,220183,0
1,69,809145,448095,13313,33423,58577,20805,9010,81561,0
1,63,1167969,417790,36614,3164,19783,19710,21983,63246,0
1,70,701482,347553,62416,58727,12872,18087,9767,124046,0
1,60,486953,90139,39839,31825,19666,13175,9283,86899,0
1,70,145445,81626,23538,20246,10626,11933,4975,52364,0
1,81,198110,62022,17017,15044,26177,9432,9916,30449,0
1,88,1750292,151504,45163,81539,6011,14274,20529,30981,0
1,88,85179,104129,56705,38232,32035,10505,4085,54208,0
1,90,126601,25843,9207,11296,11051,6899,1753,7379,0
4,94,115554,31657,34259,18940,27730,12228,1633,47998,0
1,91,562240,71356,5179,45970,32653,4321,4988,60347,0
10,87,137230,56162,17597,8668,8177,8105,13834,71327,0
1,83,295615,133841,27033,14195,8864,8259,11695,58684,0
1,88,31147,9868,16875,13319,4186,5107,5042,42735,0
1,93,89759,57204,62012,3792,17480,6747,8620,42826,0
7,90,53898,41498,8864,3360,3182,8297,2415,78245,0
14,97,1012448,55515,52218,22911,17027,14422,5636,31917,0
14,88,96752,60238,16458,18848,23268,11641,5090,79727,0
30,78,620377,139669,17040,15979,7754,34562,6698,60782,0
16,84,46650,22953,14597,1092,2729,1664,162,2553,0
10,83,105464,238155,129455,67762,22039,28039,8982,64515,0
3,70,97822,109396,6163,4346,15743,8748,3107,16262,0
1,87,317913,14253,46732,28087,24477,11270,5133,41005,0
17,91,13544,8534,16738,23054,13168,10672,3289,24709,0
11,81,25398,212776,16832,24287,21277,5784,2182,43116,0
30,100,62668,3409,9976,14142,7716,8526,3597,28801,0
35,84,19022,28258,855,6063,4410,4709,487,8546,0
35,77,190524,29754,13667,4793,13417,8324,6423,18814,0
48,74,770631,518321,9797,55391,45078,43415,11678,46262,0
43,66,245999,18474,11090,3734,9593,8139,2774,22621,0
47,74,96024,13535,2880,6656,6708,3979,795,27399,0
35,74,859596,206834,81341,37820,40579,18497,6615,216784,0
41,84,735414,160617,97662,28097,23493,38509,4917,211912,0
30,87,326308,144446,62792,33191,9263,21592,3316,347158,0
26,80,173416,58574,17972,32824,17489,11653,1303,129449,0
24,81,2009522,83459,70119,26336,27197,20146,19541,204582,0
21,84,779161,102137,111954,31876,31136,17564,16553,154951,0
26,100,1750738,92723,55607,39792,4269,17479,5693,365555,0
10,100,1869340,126246,94824,40753,8538,6503,6775,190749,0
1,90,306050,74312,4022,5187,8418,2752,2498,44018,0
3,83,1929477,73668,6585,22777,10290,12930,1192,196431,0
1,75,1677069,384630,85293,36965,10320,14000,3413,464701,0
11,67,456190,50730,34949,6311,28678,20150,3094,448589,0
27,70,273093,147050,13913,20742,36035,27915,3191,731550,0
17,66,1325422,172939,7470,22503,9357,8396,1492,165078,0
21,69,2383505,28010,3412,10682,3093,1625,1004,169477,0
1,66,1037851,74089,4267,17965,5296,2285,2808,199013,0
1,74,1787897,121710,12237,7659,3587,4706,2665,198352,0
1,78,1039841,69816,62972,20127,14895,7237,5579,150477,0
1,70,765937,1768520,188113,64426,43760,55445,25563,658419,0
1,70,274386,15562,2929,7085,3447,2939,1806,115540,0
1,75,431528,229734,40425,15779,32247,7250,15736,672783,0
1,66,165424,30413,9713,1741,2905,1258,2156,119509,0
1,75,1222559,137949,39696,41184,16694,10826,11401,539062,0
1,75,324132,16596,5380,4435,7602,875,338,43426,0
1,80,705330,105579,40361,23993,19938,8002,8971,486139,0
1,83,815358,148676,63374,13714,23150,7004,2525,595264,0
1,91,550985,8313,6105,9725,1338,1616,308,63948,0
3,96,2412765,49795,13535,26275,4107,7503,2548,216637,0
4,90,168349,33502,3030,4434,2493,2227,895,106926,0
13,91,337941,36388,9820,19676,11069,4772,6765,419352,0
21,75,1012488,257538,35364,28211,74894,41128,12076,373977,0
16,69,2613850,566242,167698,29454,36558,44265,13335,601241,0
8,81,1047452,37096,27036,24709,6665,2015,1809,119138,0
1,77,535109,141863,45952,25786,9074,7114,3434,334960,0
13,78,46944,65657,5780,34921,6575,16451,1809,363963,0
24,75,444903,69104,33135,22417,5999,10188,10164,511966,0
23,90,515109,189343,237601,19700,36016,49457,4026,844142,0
38,88,374653,4631,1347,1072,1817,869,319,44440,0
30,91,28816,26063,20299,9168,12237,5209,4346,408882,0
40,90,14624,23092,4676,17815,11575,6923,3450,368713,0
51,90,62061,10390,17674,12241,6208,14190,3900,394924,0
41,94,369625,42427,17348,19397,14931,3788,1246,89775,0
51,94,399368,8270,20899,5546,13622,8870,3494,349268,0
50,97,23235,28456,24764,13856,13919,8676,6068,337242,0
44,84,124020,15725,1237,3638,8818,4731,1608,93136,0
60,80,85337,30748,13241,4435,7645,8970,2904,350456,0
50,80,3076,8646,8200,13005,14206,3212,6175,370582,0
35,75,187389,123783,39838,32915,64486,6136,2426,379313,0
23,80,432652,37025,10694,4560,8142,3695,1036,320227,0
1,77,1198084,518555,108521,53588,43618,5139,4440,386966,0
10,70,36779,23356,10348,7168,11281,7577,7414,413980,0
30,78,37079,13025,10594,9126,5504,4906,3915,328114,0
44,83,203105,37478,8145,26238,13689,12213,3917,350689,0
70,91,10407,11569,17989,8276,13670,7525,4189,367123,0
81,91,4930,9693,8869,5511,12099,13889,1964,343942,0
78,97,22384,10696,25483,6783,5110,4096,3949,336153,0
66,87,12723,72252,4041,9935,22858,3367,2929,331075,0
60,94,17997,1784,35263,9760,4671,4573,2277,411827,0
53,96,571789,43577,28647,53435,42833,32787,19041,338911,0
56,87,851046,42971,38625,26252,17604,17730,3123,370022,0
78,96,6820,12267,4603,12763,2621,12503,2108,315240,0
74,77,77277,31849,4988,3306,1224,2096,888,80837,0
57,70,256585,36721,7256,10061,11707,2531,828,87124,0
